date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:37	14936/14936	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202019%2000:22:58%20GMT	https://premiumlayers.com/html/maxrestaurant/contactus2.html	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/contactus2.html	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:37	8331/8331	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:17:52%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/about-thumb.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/about-thumb.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:37	3029/3029	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:18:00%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/chef-sign.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/chef-sign.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:38	59124/59124	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:17:50%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/about-img1.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/about-img1.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:39	4559/4559	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:18:50%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/surprise-icon.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/surprise-icon.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:39	67308/67308	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:17:50%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/about-img2.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/about-img2.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:39	46193/46193	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:18:48%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/srv1.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/srv1.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:39	57934/57934	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:18:48%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/srv2.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/srv2.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:39	516086/516086	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:46%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/slide1.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/slide1.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:39	60154/60154	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:18:50%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/srv3.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/srv3.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
